LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,HHFA,CURDEP,PC_HHFA,A,2015,40.46141,
AUT,HHFA,CURDEP,PC_HHFA,A,2016,40.77604,
AUT,HHFA,CURDEP,PC_HHFA,A,2017,40.06087,
AUT,HHFA,CURDEP,PC_HHFA,A,2018,41.44733,
BEL,HHFA,CURDEP,PC_HHFA,A,2015,29.56383,
BEL,HHFA,CURDEP,PC_HHFA,A,2016,29.76526,
BEL,HHFA,CURDEP,PC_HHFA,A,2017,30.01916,
BEL,HHFA,CURDEP,PC_HHFA,A,2018,32.33924,
CZE,HHFA,CURDEP,PC_HHFA,A,2015,50.12377,
CZE,HHFA,CURDEP,PC_HHFA,A,2016,51.24588,
CZE,HHFA,CURDEP,PC_HHFA,A,2017,51.98669,
CZE,HHFA,CURDEP,PC_HHFA,A,2018,52.03869,
DNK,HHFA,CURDEP,PC_HHFA,A,2015,15.90625,
DNK,HHFA,CURDEP,PC_HHFA,A,2016,15.97039,
DNK,HHFA,CURDEP,PC_HHFA,A,2017,15.51791,
DNK,HHFA,CURDEP,PC_HHFA,A,2018,16.43906,
FIN,HHFA,CURDEP,PC_HHFA,A,2015,29.93252,
FIN,HHFA,CURDEP,PC_HHFA,A,2016,30.36951,
FIN,HHFA,CURDEP,PC_HHFA,A,2017,30.04202,
FIN,HHFA,CURDEP,PC_HHFA,A,2018,31.74046,
FIN,HHFA,CURDEP,PC_HHFA,A,2019,30.94108,
FRA,HHFA,CURDEP,PC_HHFA,A,2015,27.85407,
FRA,HHFA,CURDEP,PC_HHFA,A,2016,27.64975,
FRA,HHFA,CURDEP,PC_HHFA,A,2017,27.46755,
FRA,HHFA,CURDEP,PC_HHFA,A,2018,29.00416,
DEU,HHFA,CURDEP,PC_HHFA,A,2015,39.15603,
DEU,HHFA,CURDEP,PC_HHFA,A,2016,39.4919,
DEU,HHFA,CURDEP,PC_HHFA,A,2017,39.20261,
DEU,HHFA,CURDEP,PC_HHFA,A,2018,40.64782,
GRC,HHFA,CURDEP,PC_HHFA,A,2015,66.26162,
GRC,HHFA,CURDEP,PC_HHFA,A,2016,66.57944,
GRC,HHFA,CURDEP,PC_HHFA,A,2017,61.18863,
GRC,HHFA,CURDEP,PC_HHFA,A,2018,64.4929,
GRC,HHFA,CURDEP,PC_HHFA,A,2019,58.15204,
HUN,HHFA,CURDEP,PC_HHFA,A,2015,27.61883,
HUN,HHFA,CURDEP,PC_HHFA,A,2016,27.03339,
HUN,HHFA,CURDEP,PC_HHFA,A,2017,26.13184,
HUN,HHFA,CURDEP,PC_HHFA,A,2018,27.42134,
HUN,HHFA,CURDEP,PC_HHFA,A,2019,26.52237,
IRL,HHFA,CURDEP,PC_HHFA,A,2015,37.12544,
IRL,HHFA,CURDEP,PC_HHFA,A,2016,37.09538,
IRL,HHFA,CURDEP,PC_HHFA,A,2017,37.14477,
IRL,HHFA,CURDEP,PC_HHFA,A,2018,38.69451,
ITA,HHFA,CURDEP,PC_HHFA,A,2015,30.52394,
ITA,HHFA,CURDEP,PC_HHFA,A,2016,31.5289,
ITA,HHFA,CURDEP,PC_HHFA,A,2017,31.11223,
ITA,HHFA,CURDEP,PC_HHFA,A,2018,32.94817,
LUX,HHFA,CURDEP,PC_HHFA,A,2015,44.34805,
LUX,HHFA,CURDEP,PC_HHFA,A,2016,44.80322,
LUX,HHFA,CURDEP,PC_HHFA,A,2017,44.85875,
LUX,HHFA,CURDEP,PC_HHFA,A,2018,46.37363,
NLD,HHFA,CURDEP,PC_HHFA,A,2015,17.22375,
NLD,HHFA,CURDEP,PC_HHFA,A,2016,16.43856,
NLD,HHFA,CURDEP,PC_HHFA,A,2017,16.73131,
NLD,HHFA,CURDEP,PC_HHFA,A,2018,16.89526,
POL,HHFA,CURDEP,PC_HHFA,A,2015,48.00929,
POL,HHFA,CURDEP,PC_HHFA,A,2016,48.80051,
POL,HHFA,CURDEP,PC_HHFA,A,2017,47.6357,
POL,HHFA,CURDEP,PC_HHFA,A,2018,49.8481,
POL,HHFA,CURDEP,PC_HHFA,A,2019,51.95695,
PRT,HHFA,CURDEP,PC_HHFA,A,2015,44.12142,
PRT,HHFA,CURDEP,PC_HHFA,A,2016,45.10992,
PRT,HHFA,CURDEP,PC_HHFA,A,2017,43.68151,
PRT,HHFA,CURDEP,PC_HHFA,A,2018,44.00602,
PRT,HHFA,CURDEP,PC_HHFA,A,2019,44.06883,
SVK,HHFA,CURDEP,PC_HHFA,A,2015,51.51729,
SVK,HHFA,CURDEP,PC_HHFA,A,2016,52.41203,
SVK,HHFA,CURDEP,PC_HHFA,A,2017,52.5668,
SVK,HHFA,CURDEP,PC_HHFA,A,2018,53.54783,
SVK,HHFA,CURDEP,PC_HHFA,A,2019,55.29005,
ESP,HHFA,CURDEP,PC_HHFA,A,2015,39.29417,
ESP,HHFA,CURDEP,PC_HHFA,A,2016,39.21576,
ESP,HHFA,CURDEP,PC_HHFA,A,2017,37.70725,
ESP,HHFA,CURDEP,PC_HHFA,A,2018,38.95263,
ESP,HHFA,CURDEP,PC_HHFA,A,2019,38.27898,
SWE,HHFA,CURDEP,PC_HHFA,A,2015,13.68639,
SWE,HHFA,CURDEP,PC_HHFA,A,2016,13.53619,
SWE,HHFA,CURDEP,PC_HHFA,A,2017,13.66961,
SWE,HHFA,CURDEP,PC_HHFA,A,2018,14.64182,
GBR,HHFA,CURDEP,PC_HHFA,A,2015,24.55189,
GBR,HHFA,CURDEP,PC_HHFA,A,2016,23.90816,
GBR,HHFA,CURDEP,PC_HHFA,A,2017,24.07497,
GBR,HHFA,CURDEP,PC_HHFA,A,2018,25.13062,
EST,HHFA,CURDEP,PC_HHFA,A,2015,29.05731,
EST,HHFA,CURDEP,PC_HHFA,A,2016,29.01349,
EST,HHFA,CURDEP,PC_HHFA,A,2017,26.42191,
EST,HHFA,CURDEP,PC_HHFA,A,2018,26.58965,
