LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,HHDEBT,TOT,PC_NDI,A,2015,92.05358,
AUT,HHDEBT,TOT,PC_NDI,A,2016,92.06706,
AUT,HHDEBT,TOT,PC_NDI,A,2017,90.79732,
AUT,HHDEBT,TOT,PC_NDI,A,2018,90.27317,
BEL,HHDEBT,TOT,PC_NDI,A,2015,111.6695,
BEL,HHDEBT,TOT,PC_NDI,A,2016,112.5323,
BEL,HHDEBT,TOT,PC_NDI,A,2017,113.5038,
BEL,HHDEBT,TOT,PC_NDI,A,2018,114.9683,
CZE,HHDEBT,TOT,PC_NDI,A,2015,67.1994,
CZE,HHDEBT,TOT,PC_NDI,A,2016,68.78602,
CZE,HHDEBT,TOT,PC_NDI,A,2017,65.71616,
CZE,HHDEBT,TOT,PC_NDI,A,2018,70.00006,
DNK,HHDEBT,TOT,PC_NDI,A,2015,293.0566,
DNK,HHDEBT,TOT,PC_NDI,A,2016,290.053,
DNK,HHDEBT,TOT,PC_NDI,A,2017,288.601,
DNK,HHDEBT,TOT,PC_NDI,A,2018,281.6941,
FIN,HHDEBT,TOT,PC_NDI,A,2015,125.3838,
FIN,HHDEBT,TOT,PC_NDI,A,2016,131.6701,
FIN,HHDEBT,TOT,PC_NDI,A,2017,136.5712,
FIN,HHDEBT,TOT,PC_NDI,A,2018,144.345,
FIN,HHDEBT,TOT,PC_NDI,A,2019,147.9479,
FRA,HHDEBT,TOT,PC_NDI,A,2015,115.4928,
FRA,HHDEBT,TOT,PC_NDI,A,2016,115.6095,
FRA,HHDEBT,TOT,PC_NDI,A,2017,120.3384,
FRA,HHDEBT,TOT,PC_NDI,A,2018,120.676,
DEU,HHDEBT,TOT,PC_NDI,A,2015,95.01003,
DEU,HHDEBT,TOT,PC_NDI,A,2016,94.75609,
DEU,HHDEBT,TOT,PC_NDI,A,2017,95.14959,
DEU,HHDEBT,TOT,PC_NDI,A,2018,95.31162,
GRC,HHDEBT,TOT,PC_NDI,A,2015,114.9612,
GRC,HHDEBT,TOT,PC_NDI,A,2016,111.6056,
GRC,HHDEBT,TOT,PC_NDI,A,2017,106.7994,
GRC,HHDEBT,TOT,PC_NDI,A,2018,105.6902,
HUN,HHDEBT,TOT,PC_NDI,A,2015,48.76175,
HUN,HHDEBT,TOT,PC_NDI,A,2016,46.29287,
HUN,HHDEBT,TOT,PC_NDI,A,2017,43.48033,
HUN,HHDEBT,TOT,PC_NDI,A,2018,41.99694,
IRL,HHDEBT,TOT,PC_NDI,A,2015,180.1845,
IRL,HHDEBT,TOT,PC_NDI,A,2016,163.4115,
IRL,HHDEBT,TOT,PC_NDI,A,2017,152.5768,
IRL,HHDEBT,TOT,PC_NDI,A,2018,140.397,
ITA,HHDEBT,TOT,PC_NDI,A,2015,87.67278,
ITA,HHDEBT,TOT,PC_NDI,A,2016,87.35949,
ITA,HHDEBT,TOT,PC_NDI,A,2017,86.73657,
ITA,HHDEBT,TOT,PC_NDI,A,2018,86.63503,
LUX,HHDEBT,TOT,PC_NDI,A,2015,175.9897,
LUX,HHDEBT,TOT,PC_NDI,A,2016,183.333,
LUX,HHDEBT,TOT,PC_NDI,A,2017,184.5839,
LUX,HHDEBT,TOT,PC_NDI,A,2018,186.4254,
NLD,HHDEBT,TOT,PC_NDI,A,2015,253.1169,
NLD,HHDEBT,TOT,PC_NDI,A,2016,248.1161,
NLD,HHDEBT,TOT,PC_NDI,A,2017,246.2136,
NLD,HHDEBT,TOT,PC_NDI,A,2018,239.4933,
POL,HHDEBT,TOT,PC_NDI,A,2015,63.79037,
POL,HHDEBT,TOT,PC_NDI,A,2016,63.57063,
POL,HHDEBT,TOT,PC_NDI,A,2017,61.57058,
POL,HHDEBT,TOT,PC_NDI,A,2018,63.06737,
PRT,HHDEBT,TOT,PC_NDI,A,2015,140.8354,
PRT,HHDEBT,TOT,PC_NDI,A,2016,134.0091,
PRT,HHDEBT,TOT,PC_NDI,A,2017,130.7384,
PRT,HHDEBT,TOT,PC_NDI,A,2018,126.0217,
PRT,HHDEBT,TOT,PC_NDI,A,2019,121.6155,
SVK,HHDEBT,TOT,PC_NDI,A,2015,68.66463,
SVK,HHDEBT,TOT,PC_NDI,A,2016,73.90639,
SVK,HHDEBT,TOT,PC_NDI,A,2017,77.82388,
SVK,HHDEBT,TOT,PC_NDI,A,2018,78.7179,
SVK,HHDEBT,TOT,PC_NDI,A,2019,78.62121,
ESP,HHDEBT,TOT,PC_NDI,A,2015,118.9835,
ESP,HHDEBT,TOT,PC_NDI,A,2016,114.3357,
ESP,HHDEBT,TOT,PC_NDI,A,2017,110.6752,
ESP,HHDEBT,TOT,PC_NDI,A,2018,106.8789,
SWE,HHDEBT,TOT,PC_NDI,A,2015,178.7427,
SWE,HHDEBT,TOT,PC_NDI,A,2016,183.8747,
SWE,HHDEBT,TOT,PC_NDI,A,2017,188.6522,
SWE,HHDEBT,TOT,PC_NDI,A,2018,188.8381,
GBR,HHDEBT,TOT,PC_NDI,A,2015,138.4795,
