LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,HHEXP,TOT,MLN_USD,A,2015,217782.6278,
AUT,HHEXP,TOT,MLN_USD,A,2016,230816.9811,
AUT,HHEXP,TOT,MLN_USD,A,2017,240737.648,
AUT,HHEXP,TOT,MLN_USD,A,2018,249473.6608,
AUT,HHEXP,TOT,MLN_USD,A,2019,257338.6802,
BEL,HHEXP,TOT,MLN_USD,A,2015,261979.804,
BEL,HHEXP,TOT,MLN_USD,A,2016,277225.2828,
BEL,HHEXP,TOT,MLN_USD,A,2017,291018.5025,
BEL,HHEXP,TOT,MLN_USD,A,2018,302053.707,
BEL,HHEXP,TOT,MLN_USD,A,2019,310088.3898,
CZE,HHEXP,TOT,MLN_USD,A,2015,164291.3492,
CZE,HHEXP,TOT,MLN_USD,A,2016,175953.5695,
CZE,HHEXP,TOT,MLN_USD,A,2017,190775.5701,
CZE,HHEXP,TOT,MLN_USD,A,2018,200891.7085,
CZE,HHEXP,TOT,MLN_USD,A,2019,210264.1678,
DNK,HHEXP,TOT,MLN_USD,A,2015,127242.1245,
DNK,HHEXP,TOT,MLN_USD,A,2016,134549.5563,
DNK,HHEXP,TOT,MLN_USD,A,2017,143124.7728,
DNK,HHEXP,TOT,MLN_USD,A,2018,150107.7934,
DNK,HHEXP,TOT,MLN_USD,A,2019,155429.9681,
FIN,HHEXP,TOT,MLN_USD,A,2015,121185.13,
FIN,HHEXP,TOT,MLN_USD,A,2016,128140.8522,
FIN,HHEXP,TOT,MLN_USD,A,2017,133107.7372,
FIN,HHEXP,TOT,MLN_USD,A,2018,138115.9246,
FIN,HHEXP,TOT,MLN_USD,A,2019,140360.2544,
FRA,HHEXP,TOT,MLN_USD,A,2015,1412916.1517,
FRA,HHEXP,TOT,MLN_USD,A,2016,1493831.0914,
FRA,HHEXP,TOT,MLN_USD,A,2017,1555357.8432,
FRA,HHEXP,TOT,MLN_USD,A,2018,1617123.6639,P
FRA,HHEXP,TOT,MLN_USD,A,2019,1661854.2609,P
DEU,HHEXP,TOT,MLN_USD,A,2015,2003700.3304,
DEU,HHEXP,TOT,MLN_USD,A,2016,2131562.5659,
DEU,HHEXP,TOT,MLN_USD,A,2017,2227138.525,
DEU,HHEXP,TOT,MLN_USD,A,2018,2285623.5555,
DEU,HHEXP,TOT,MLN_USD,A,2019,2348610.4734,
GRC,HHEXP,TOT,MLN_USD,A,2015,194020.1955,P
GRC,HHEXP,TOT,MLN_USD,A,2016,199070.3159,P
GRC,HHEXP,TOT,MLN_USD,A,2017,206309.2552,P
GRC,HHEXP,TOT,MLN_USD,A,2018,212661.7299,P
GRC,HHEXP,TOT,MLN_USD,A,2019,217865.108,P
HUN,HHEXP,TOT,MLN_USD,A,2015,123893.6045,
HUN,HHEXP,TOT,MLN_USD,A,2016,130658.5709,
HUN,HHEXP,TOT,MLN_USD,A,2017,137662.1406,
HUN,HHEXP,TOT,MLN_USD,A,2018,144505.1854,
HUN,HHEXP,TOT,MLN_USD,A,2019,153241.1192,P
IRL,HHEXP,TOT,MLN_USD,A,2015,105308.9145,
IRL,HHEXP,TOT,MLN_USD,A,2016,113316.9652,
IRL,HHEXP,TOT,MLN_USD,A,2017,118621.7906,
IRL,HHEXP,TOT,MLN_USD,A,2018,125334.7356,
IRL,HHEXP,TOT,MLN_USD,A,2019,132794.6689,
ITA,HHEXP,TOT,MLN_USD,A,2015,1349951.7855,
ITA,HHEXP,TOT,MLN_USD,A,2016,1442494.6072,
ITA,HHEXP,TOT,MLN_USD,A,2017,1510455.4412,
ITA,HHEXP,TOT,MLN_USD,A,2018,1546673.7821,
ITA,HHEXP,TOT,MLN_USD,A,2019,1579558.9115,
LUX,HHEXP,TOT,MLN_USD,A,2015,16954.5462,
LUX,HHEXP,TOT,MLN_USD,A,2016,18185.5239,
LUX,HHEXP,TOT,MLN_USD,A,2017,19016.463,
LUX,HHEXP,TOT,MLN_USD,A,2018,19963.7136,
LUX,HHEXP,TOT,MLN_USD,A,2019,20663.1199,
NLD,HHEXP,TOT,MLN_USD,A,2015,377113.7899,
NLD,HHEXP,TOT,MLN_USD,A,2016,390218.8365,
NLD,HHEXP,TOT,MLN_USD,A,2017,413109.721,
NLD,HHEXP,TOT,MLN_USD,A,2018,430117.2399,P
NLD,HHEXP,TOT,MLN_USD,A,2019,442751.5885,P
POL,HHEXP,TOT,MLN_USD,A,2015,588374.5658,
POL,HHEXP,TOT,MLN_USD,A,2016,619612.5853,
POL,HHEXP,TOT,MLN_USD,A,2017,659188.4484,
POL,HHEXP,TOT,MLN_USD,A,2018,691767.3512,
POL,HHEXP,TOT,MLN_USD,A,2019,723386.6209,
PRT,HHEXP,TOT,MLN_USD,A,2015,195204.8884,
PRT,HHEXP,TOT,MLN_USD,A,2016,206962.2938,
PRT,HHEXP,TOT,MLN_USD,A,2017,213153.0022,
PRT,HHEXP,TOT,MLN_USD,A,2018,220899.7293,P
PRT,HHEXP,TOT,MLN_USD,A,2019,229710.2385,E
SVK,HHEXP,TOT,MLN_USD,A,2015,86312.9368,
SVK,HHEXP,TOT,MLN_USD,A,2016,87242.3016,
SVK,HHEXP,TOT,MLN_USD,A,2017,92557.3702,
SVK,HHEXP,TOT,MLN_USD,A,2018,98192.7364,
SVK,HHEXP,TOT,MLN_USD,A,2019,102093.7967,
ESP,HHEXP,TOT,MLN_USD,A,2015,930709.6412,
ESP,HHEXP,TOT,MLN_USD,A,2016,990063.4765,
ESP,HHEXP,TOT,MLN_USD,A,2017,1057564.4892,P
ESP,HHEXP,TOT,MLN_USD,A,2018,1085117.1906,P
ESP,HHEXP,TOT,MLN_USD,A,2019,1112736.2899,P
SWE,HHEXP,TOT,MLN_USD,A,2015,215846.5013,
SWE,HHEXP,TOT,MLN_USD,A,2016,223690.94,
SWE,HHEXP,TOT,MLN_USD,A,2017,236136.7793,
SWE,HHEXP,TOT,MLN_USD,A,2018,243358.551,
SWE,HHEXP,TOT,MLN_USD,A,2019,248629.4644,
GBR,HHEXP,TOT,MLN_USD,A,2015,1717656.8447,
GBR,HHEXP,TOT,MLN_USD,A,2016,1819347.2888,
GBR,HHEXP,TOT,MLN_USD,A,2017,1906235.2815,
GBR,HHEXP,TOT,MLN_USD,A,2018,1974402.0596,
GBR,HHEXP,TOT,MLN_USD,A,2019,2017005.3362,
EST,HHEXP,TOT,MLN_USD,A,2015,19218.8303,
EST,HHEXP,TOT,MLN_USD,A,2016,20589.114,
EST,HHEXP,TOT,MLN_USD,A,2017,21674.3591,
EST,HHEXP,TOT,MLN_USD,A,2018,23078.882,
EST,HHEXP,TOT,MLN_USD,A,2019,24010.9504,
SVN,HHEXP,TOT,MLN_USD,A,2015,34681.3912,
SVN,HHEXP,TOT,MLN_USD,A,2016,37106.3235,
SVN,HHEXP,TOT,MLN_USD,A,2017,39145.6606,
SVN,HHEXP,TOT,MLN_USD,A,2018,41038.885,
SVN,HHEXP,TOT,MLN_USD,A,2019,42521.1767,
LVA,HHEXP,TOT,MLN_USD,A,2015,28997.3606,
LVA,HHEXP,TOT,MLN_USD,A,2016,30522.6287,
LVA,HHEXP,TOT,MLN_USD,A,2017,32412.8242,
LVA,HHEXP,TOT,MLN_USD,A,2018,34233.1007,
LVA,HHEXP,TOT,MLN_USD,A,2019,35974.0683,
LTU,HHEXP,TOT,MLN_USD,A,2015,52159.9666,
LTU,HHEXP,TOT,MLN_USD,A,2016,55715.4717,
LTU,HHEXP,TOT,MLN_USD,A,2017,59233.9355,
LTU,HHEXP,TOT,MLN_USD,A,2018,61854.3397,
LTU,HHEXP,TOT,MLN_USD,A,2019,64685.9261,
BGR,HHEXP,TOT,MLN_USD,A,2015,80621.9284,
BGR,HHEXP,TOT,MLN_USD,A,2016,85260.2959,
BGR,HHEXP,TOT,MLN_USD,A,2017,90384.468,
BGR,HHEXP,TOT,MLN_USD,A,2018,94150.794,
HRV,HHEXP,TOT,MLN_USD,A,2015,55959.9286,
HRV,HHEXP,TOT,MLN_USD,A,2016,59201.3692,
HRV,HHEXP,TOT,MLN_USD,A,2017,62630.2709,
HRV,HHEXP,TOT,MLN_USD,A,2018,65515.2966,P
CYP,HHEXP,TOT,MLN_USD,A,2015,17973.9152,
CYP,HHEXP,TOT,MLN_USD,A,2016,19686.231,
CYP,HHEXP,TOT,MLN_USD,A,2017,21001.3668,
CYP,HHEXP,TOT,MLN_USD,A,2018,22246.993,P
MLT,HHEXP,TOT,MLN_USD,A,2015,7539.7474,
MLT,HHEXP,TOT,MLN_USD,A,2016,7990.2062,
MLT,HHEXP,TOT,MLN_USD,A,2017,8429.6874,
MLT,HHEXP,TOT,MLN_USD,A,2018,9016.6392,
ROU,HHEXP,TOT,MLN_USD,A,2015,260240.979,
ROU,HHEXP,TOT,MLN_USD,A,2016,295457.1283,
ROU,HHEXP,TOT,MLN_USD,A,2017,332643.1052,
ROU,HHEXP,TOT,MLN_USD,A,2018,357260.0014,P
