LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2015,5.051608,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2016,-1.567818,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2017,-3.667854,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2018,-1.848137,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2015,3.73807,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2016,4.690125,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2017,3.644579,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2018,4.03407,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2015,8.863446,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2016,6.155859,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2017,5.726136,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2018,5.974179,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2015,-3.946887,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2016,-4.240655,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2017,-2.851593,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2018,-4.888104,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2019,0.2544429,
EST,HHFT,NETBALANCE,PC_NHHDI,A,2015,7.142596,
EST,HHFT,NETBALANCE,PC_NHHDI,A,2016,4.717751,
EST,HHFT,NETBALANCE,PC_NHHDI,A,2017,6.161791,
EST,HHFT,NETBALANCE,PC_NHHDI,A,2018,6.890509,
BEL,HHFT,NETBALANCE,PC_NHHDI,A,2015,4.492034,
BEL,HHFT,NETBALANCE,PC_NHHDI,A,2016,1.483217,
BEL,HHFT,NETBALANCE,PC_NHHDI,A,2017,-1.731996,
BEL,HHFT,NETBALANCE,PC_NHHDI,A,2018,0.4383473,
ESP,HHFT,NETBALANCE,PC_NHHDI,A,2015,4.044728,
ESP,HHFT,NETBALANCE,PC_NHHDI,A,2016,3.964958,
ESP,HHFT,NETBALANCE,PC_NHHDI,A,2017,2.025741,
ESP,HHFT,NETBALANCE,PC_NHHDI,A,2018,2.454061,
HUN,HHFT,NETBALANCE,PC_NHHDI,A,2015,15.44562,
HUN,HHFT,NETBALANCE,PC_NHHDI,A,2016,10.43872,
HUN,HHFT,NETBALANCE,PC_NHHDI,A,2017,10.87092,
HUN,HHFT,NETBALANCE,PC_NHHDI,A,2018,12.35827,
DNK,HHFT,NETBALANCE,PC_NHHDI,A,2015,2.92983,
DNK,HHFT,NETBALANCE,PC_NHHDI,A,2016,4.634559,
DNK,HHFT,NETBALANCE,PC_NHHDI,A,2017,4.203899,
DNK,HHFT,NETBALANCE,PC_NHHDI,A,2018,4.432819,
LUX,HHFT,NETBALANCE,PC_NHHDI,A,2015,9.987707,
LUX,HHFT,NETBALANCE,PC_NHHDI,A,2016,9.138114,
LUX,HHFT,NETBALANCE,PC_NHHDI,A,2017,11.20282,
LUX,HHFT,NETBALANCE,PC_NHHDI,A,2018,12.66702,
SVK,HHFT,NETBALANCE,PC_NHHDI,A,2015,2.686287,
SVK,HHFT,NETBALANCE,PC_NHHDI,A,2016,1.933834,
SVK,HHFT,NETBALANCE,PC_NHHDI,A,2017,1.42864,
SVK,HHFT,NETBALANCE,PC_NHHDI,A,2018,1.82707,
SVK,HHFT,NETBALANCE,PC_NHHDI,A,2019,2.28067,
CZE,HHFT,NETBALANCE,PC_NHHDI,A,2015,4.067315,
CZE,HHFT,NETBALANCE,PC_NHHDI,A,2016,3.204892,
CZE,HHFT,NETBALANCE,PC_NHHDI,A,2017,0.7003574,
CZE,HHFT,NETBALANCE,PC_NHHDI,A,2018,2.700353,
SWE,HHFT,NETBALANCE,PC_NHHDI,A,2015,9.480427,
SWE,HHFT,NETBALANCE,PC_NHHDI,A,2016,6.72191,
SWE,HHFT,NETBALANCE,PC_NHHDI,A,2017,7.443117,
SWE,HHFT,NETBALANCE,PC_NHHDI,A,2018,9.62611,
SVN,HHFT,NETBALANCE,PC_NHHDI,A,2015,4.368888,
SVN,HHFT,NETBALANCE,PC_NHHDI,A,2016,4.21869,
SVN,HHFT,NETBALANCE,PC_NHHDI,A,2017,4.74022,
SVN,HHFT,NETBALANCE,PC_NHHDI,A,2018,6.656406,
PRT,HHFT,NETBALANCE,PC_NHHDI,A,2015,3.644466,
PRT,HHFT,NETBALANCE,PC_NHHDI,A,2016,3.568684,
PRT,HHFT,NETBALANCE,PC_NHHDI,A,2017,3.0047,
PRT,HHFT,NETBALANCE,PC_NHHDI,A,2018,3.040715,
PRT,HHFT,NETBALANCE,PC_NHHDI,A,2019,2.55735,
DEU,HHFT,NETBALANCE,PC_NHHDI,A,2015,9.241763,
DEU,HHFT,NETBALANCE,PC_NHHDI,A,2016,9.198459,
DEU,HHFT,NETBALANCE,PC_NHHDI,A,2017,9.634305,
DEU,HHFT,NETBALANCE,PC_NHHDI,A,2018,9.960485,
GBR,HHFT,NETBALANCE,PC_NHHDI,A,2015,3.98135,
GBR,HHFT,NETBALANCE,PC_NHHDI,A,2016,1.919956,
GBR,HHFT,NETBALANCE,PC_NHHDI,A,2017,0.3616897,
GBR,HHFT,NETBALANCE,PC_NHHDI,A,2018,0.2545075,
ITA,HHFT,NETBALANCE,PC_NHHDI,A,2015,0.6784253,
ITA,HHFT,NETBALANCE,PC_NHHDI,A,2016,1.903656,
ITA,HHFT,NETBALANCE,PC_NHHDI,A,2017,2.479068,
ITA,HHFT,NETBALANCE,PC_NHHDI,A,2018,1.604404,
NLD,HHFT,NETBALANCE,PC_NHHDI,A,2015,8.807297,
NLD,HHFT,NETBALANCE,PC_NHHDI,A,2016,5.293226,
NLD,HHFT,NETBALANCE,PC_NHHDI,A,2017,4.164226,
NLD,HHFT,NETBALANCE,PC_NHHDI,A,2018,4.580237,
POL,HHFT,NETBALANCE,PC_NHHDI,A,2015,4.606722,
POL,HHFT,NETBALANCE,PC_NHHDI,A,2016,8.082233,
POL,HHFT,NETBALANCE,PC_NHHDI,A,2017,0.9997367,
POL,HHFT,NETBALANCE,PC_NHHDI,A,2018,4.285982,
FRA,HHFT,NETBALANCE,PC_NHHDI,A,2015,4.99502,
FRA,HHFT,NETBALANCE,PC_NHHDI,A,2016,4.213636,
FRA,HHFT,NETBALANCE,PC_NHHDI,A,2017,3.692805,
FRA,HHFT,NETBALANCE,PC_NHHDI,A,2018,3.767634,
LVA,HHFT,NETBALANCE,PC_NHHDI,A,2015,5.73389,
LVA,HHFT,NETBALANCE,PC_NHHDI,A,2016,5.755991,
LVA,HHFT,NETBALANCE,PC_NHHDI,A,2017,4.916952,
LVA,HHFT,NETBALANCE,PC_NHHDI,A,2018,4.248549,
LTU,HHFT,NETBALANCE,PC_NHHDI,A,2015,-4.485215,
LTU,HHFT,NETBALANCE,PC_NHHDI,A,2016,4.464342,
LTU,HHFT,NETBALANCE,PC_NHHDI,A,2017,5.668588,
LTU,HHFT,NETBALANCE,PC_NHHDI,A,2018,3.290203,
